route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
03A_1,FULLW,03A_1_PM_21,,,,
03A_2,FULLW,03A_2_PM_1,,,,
03A_2,FULLW,03A_2_PM_2,,,,
03A_2,FULLW,03A_2_PM_3,,,,
03A_2,FULLW,03A_2_PM_4,,,,
03A_2,FULLW,03A_2_PM_5,,,,
03A_2,FULLW,03A_2_PM_6,,,,
03A_2,FULLW,03A_2_PM_7,,,,
03A_2,FULLW,03A_2_PM_8,,,,
03A_2,FULLW,03A_2_PM_9,,,,
03A_2,FULLW,03A_2_PM_10,,,,
03A_2,FULLW,03A_2_PM_11,,,,
03A_2,FULLW,03A_2_PM_12,,,,
03A_2,FULLW,03A_2_PM_13,,,,
03A_2,FULLW,03A_2_PM_14,,,,
03A_2,FULLW,03A_2_PM_15,,,,
03A_2,FULLW,03A_2_PM_16,,,,
03A_2,FULLW,03A_2_PM_17,,,,
03A_2,FULLW,03A_2_PM_18,,,,
03A_2,FULLW,03A_2_PM_19,,,,
03A_2,FULLW,03A_2_PM_20,,,,
03A_2,FULLW,03A_2_PM_21,,,,
03B_1,FULLW,03B_1_PM_1,,,,
03B_1,FULLW,03B_1_PM_2,,,,
03B_1,FULLW,03B_1_PM_3,,,,
03B_1,FULLW,03B_1_PM_4,,,,
03B_1,FULLW,03B_1_PM_5,,,,
03B_1,FULLW,03B_1_PM_6,,,,
03B_1,FULLW,03B_1_PM_7,,,,
03B_1,FULLW,03B_1_PM_8,,,,
03B_2,FULLW,03B_2_PM_1,,,,
03B_2,FULLW,03B_2_PM_2,,,,
03B_2,FULLW,03B_2_PM_3,,,,
03B_2,FULLW,03B_2_PM_4,,,,
03B_2,FULLW,03B_2_PM_5,,,,
03B_2,FULLW,03B_2_PM_6,,,,
03B_2,FULLW,03B_2_PM_7,,,,
03B_2,FULLW,03B_2_PM_8,,,,
04_1,FULLW,04_1_PM_1,,,,
04_1,FULLW,04_1_PM_2,,,,
04_1,FULLW,04_1_PM_3,,,,
04_1,FULLW,04_1_PM_4,,,,
04_1,FULLW,04_1_PM_5,,,,
04_1,FULLW,04_1_PM_6,,,,
04_1,FULLW,04_1_PM_7,,,,
04_1,FULLW,04_1_PM_8,,,,
04_1,FULLW,04_1_PM_9,,,,
04_1,FULLW,04_1_PM_10,,,,
04_1,FULLW,04_1_PM_11,,,,
04_1,FULLW,04_1_PM_12,,,,
04_1,FULLW,04_1_PM_13,,,,
04_1,FULLW,04_1_PM_14,,,,
04_1,FULLW,04_1_PM_15,,,,
04_1,FULLW,04_1_PM_16,,,,
04_1,FULLW,04_1_PM_17,,,,
04_1,FULLW,04_1_PM_18,,,,
04_2,FULLW,04_2_PM_1,,,,
04_2,FULLW,04_2_PM_2,,,,
04_2,FULLW,04_2_PM_3,,,,
04_2,FULLW,04_2_PM_4,,,,
04_2,FULLW,04_2_PM_5,,,,
04_2,FULLW,04_2_PM_6,,,,
04_2,FULLW,04_2_PM_7,,,,
04_2,FULLW,04_2_PM_8,,,,
