route_id,agency_id,route_short_name,route_long_name,route_color,route_text_color,route_type
line:207,network:1,131,Saint-Alban Salvador Allende / Bruguières Gutenberg,58ac25,ffffff,3
line:208,network:1,132,Sept Deniers - Salvador Dali / Pôle,007c52,ffffff,3
line:138,network:1,150,Colomiers Gare SNCF / Colomiers Gare SNCF,0098d4,ffffff,3
line:198,network:1,151,Colomiers Gare SNCF / Colomiers Gare SNCF,004687,ffffff,3
line:192,network:1,152,Empalot / IUC,572f08,ffffff,3
line:230,network:1,169,La Vache / Bruguières Mairie,db001b,ffffff,3
line:54,network:1,201,Malepère / Varennes En Clavié,e675a7,ffffff,3
line:55,network:1,202,Castanet-Tolosan / Montbrun-Lauragais Roumieu,58ac25,ffffff,3
line:56,network:1,204,Labège Innopole Gare SNCF / Ayguesvives Collège,db001b,ffffff,3
line:57,network:1,205,Castanet-Tolosan / Ayguesvives Collège,0098d4,ffffff,3
line:152,network:1,301,Muret Gare SNCF / Muret Sans Souci,dc006b,ffffff,3
line:153,network:1,302,Muret Gare SNCF / Muret Salle Horizon,e46809,ffffff,3
line:154,network:1,303,Muret Gare SNCF / Muret Peyrusse,e675a7,ffffff,3
line:155,network:1,304,Muret Gare SNCF / Muret Guyenne,dc006b,ffffff,3
line:156,network:1,305,Muret Gare SNCF / Muret Côte des Bènes,0098d4,ffffff,3
line:157,network:1,306,Muret Gare SNCF / Muret C.A.M.,e675a7,ffffff,3
line:158,network:1,310,Muret Gare SNCF / Muret Estantens Eglise,007c52,ffffff,3
line:159,network:1,311,Muret Gare SNCF / Portet Gare SNCF (par Villate),58ac25,ffffff,3
line:160,network:1,312,Muret Gare SNCF / Saint-Clar Mairie,3f2682,ffffff,3
line:161,network:1,313,Muret Gare SNCF / Le Fauga Cimetière,e675a7,ffffff,3
line:162,network:1,314,Muret Gare SNCF / Eaunes ZAC du Mandarin,db001b,ffffff,3
line:163,network:1,315,Muret Gare SNCF / Saint-Lys ZA du Boutet,a0670f,ffffff,3
line:164,network:1,316,Muret Gare SNCF / Portet Gare SNCF (par Labarthe),004687,ffffff,3
line:165,network:1,317,Muret Gare SNCF / Portet Gare SNCF (par Saubens),e46809,ffffff,3
